// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,920001,15000 // «Ò°êÂà³J
0,920002,15000 // ¤ýµPÂà³J
0,920005,15000 // ¤Ñ¨ÏÂà³J 
0,920010,15000 // ¬PÄ@Âà³J
0,100229,1000 // ¼v¤lÂ¾·~°ª¯ÅÄÝ©Ê½c
0,100441,1000 // ¼v¤l§Þ¯à°ª¯ÅÄÝ©Ê½c
0,9551,1000
0,7621,10
0,7539,250
0,7723,5000
0,1000874,2000
0,6672,50
0,7776,100
0,12214,250
0,12208,500
0,12412,100
0,1000680,50
0,1000681,50
0,1000640,1200
0,7168,300
0,23436,2000 //ºë·Òºl
//0,23926,7000 //+9ºë·Òºl
0,607,20
0,608,10
0,12202,80
0,12203,80
0,12204,80
0,12205,80R
0,12206,80
0,12207,80
1,6423,10//æµ·ç??ä¹???¤æ??
//1,7650,100//ç¥?ä¹?
//1,6635,200 //ÅK¦Kªº¯¬ºÖ
1,25793,199
1,16393,300 //é«?è¾²ç??5???ç®?
1,16394,550 //é«?è¾²ç??10???ç®?
1,16258,300//é«?å¯?åº¦é?½é?³ç¤¦???5??¥ç®±å­?
1,16260,580//é«?å¯?åº¦é?½é?³ç¤¦???10??¥ç®±å­?
1,16395,300 //è¾²é??5
1,16396,550 //é«?è¾²é??5
1,16259,300//é«?å¯?åº¦é??ç¤¦ç??5??¥ç®±å­?
1,16261,580//é«?å¯?åº¦é??ç¤¦ç??10??¥ç®±å­?
1,12920,30//è¾²å??
1,12921,30//è¾²ç??
1,16753,70//ä½?äº?
1,16755,70//ä½????
1,16765,40//???ç«?é­?æ£? 23å°????
1,16766,120//???ç«?é­?æ£? 3å¤?
1,16767,280//???ç«?é­?æ£? 7å¤?
1,16764,100//æµ·ç??è­·èº«ç¬¦ç®±å­? 15å¤?
2,36201,1020
2,36202,520
2,36203,103
2,36204,11
2,36205,3
2,60748,15000 //1vip
2,60749,30000 //2vip
2,60750,45000 //3vip
//2,22654,200000 //¶Àª÷¥d¥U
3,1292,99
3,1394,99
3,1491,99
3,1585,99
3,2015,99
3,2149,99
3,2150,99
3,2151,99
3,2459,99
3,2460,99
3,2461,99
3,2561,99
3,2562,99
3,2563,99
3,2828,99
3,2996,99
3,13071,99
3,13115,99
3,15015,99
3,15016,99
3,15017,99
3,15018,99
3,15019,99
3,15020,99
3,15021,99
3,15111,99
3,16019,99
3,18112,99
3,21000,99

4,15212,4999
4,20856,4999
4,22141,4999
4,20842,199
4,20843,199
4,20844,199
4,15278,499
4,15279,499
4,15346,499
4,15347,499
4,15353,499
4,15354,499
4,5793,99
4,5402,99
4,5527,99
4,18785,199
4,5372,199
4,18528,199
4,18694,199
4,18599,399
4,5283,399
4,5421,699
4,18754,699
4,2202,599
4,2204,199
4,5361,299
4,5657,299
4,5362,399
4,5518,399
4,5375,99
4,5506,399
4,18503,299
4,5468,299
4,18657,299
4,18539,299
4,18844,390//???æ³¢å?©æ°£???
